Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq5037,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5039,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5077,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5082,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5090,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5091,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5107,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5119,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5123,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5160,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5163,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5174,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5182,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5191,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5207,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5230,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5231,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5241,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5253,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5272,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5291,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5309,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5312,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5317,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5336,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5347,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5361,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5373,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5376,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5404,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5428,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5444,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5457,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5479,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5494,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5500,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5503,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5510,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5524,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5529,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5546,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5548,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5551,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5562,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5565,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5566,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5573,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5581,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5588,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5589,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5599,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5601,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5614,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5620,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5636,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5639,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5640,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5641,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5663,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5675,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5680,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5700,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5733,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5741,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5749,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5754,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5763,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5771,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5783,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5789,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5817,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5823,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5829,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5837,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5847,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5848,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5856,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5872,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5889,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5896,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5906,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5910,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5917,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5926,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5927,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5933,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5940,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5948,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq5968,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6029,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6041,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6043,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6047,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6050,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6054,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6082,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6085,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6088,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6116,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6120,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6130,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6139,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6140,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6146,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6151,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6154,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6166,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6190,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6191,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6196,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6204,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6207,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6210,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6219,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6241,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6244,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6249,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6256,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6257,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6268,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6284,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6292,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6304,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6306,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6308,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6318,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6341,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6354,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6366,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6369,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6372,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6376,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6385,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6390,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6393,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6403,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6421,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6425,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6437,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6438,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6447,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6449,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6457,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6463,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6468,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6474,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6498,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6535,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6554,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6559,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6560,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6562,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6568,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6577,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6578,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6588,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6593,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6594,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6595,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6596,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6607,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6608,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6610,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6618,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6639,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6641,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6658,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6678,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6681,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6702,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6705,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6711,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6719,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6720,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6731,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6733,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6750,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6762,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6777,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6781,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6793,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6799,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6804,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6842,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6843,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6856,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6859,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6860,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6861,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6863,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6871,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6872,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6876,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6881,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6893,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6898,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6901,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6912,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6922,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6923,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6925,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6931,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6940,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6945,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6950,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6960,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6971,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6974,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6983,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6992,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq6998,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7003,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7027,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7038,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7047,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7050,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7059,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7064,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7070,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7072,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7078,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7079,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7080,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7081,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7093,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7094,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7097,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7099,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7104,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7106,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7108,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7111,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7119,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7128,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7132,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7133,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7147,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7156,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7167,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7179,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7191,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7196,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7203,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7213,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7214,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7229,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7240,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7247,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7251,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7252,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7257,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7259,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7262,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7263,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7271,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7273,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7292,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7299,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7302,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7307,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7315,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7318,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7320,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7355,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7357,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7360,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7362,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7397,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7402,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7410,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7412,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7415,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7418,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7423,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7427,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7435,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7445,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7447,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7449,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7466,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7467,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7468,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7475,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7476,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7502,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7503,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7505,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7507,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7515,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7525,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7530,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7538,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7539,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7540,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7544,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7545,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7549,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7563,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7587,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7593,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7595,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7596,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq7598,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
