Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq3213,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3217,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3241,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3246,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3312,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3314,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3321,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3369,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3377,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3388,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3416,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3424,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3427,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3428,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3437,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3451,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3463,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3469,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3488,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3490,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3497,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3507,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3561,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3562,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3585,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3615,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3631,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3664,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3738,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3777,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3779,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3803,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3817,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3838,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3840,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3841,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3884,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3905,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3912,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3913,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3925,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3973,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3976,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3983,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq3996,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4012,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4014,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4059,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4084,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4092,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4109,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4119,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4123,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4126,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4139,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4144,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4149,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4160,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4170,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4177,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4187,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4189,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4198,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4206,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4208,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4211,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4224,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4230,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4253,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4276,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4307,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4369,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4379,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4382,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4429,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4497,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4518,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4529,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4530,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4531,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4532,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4536,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4541,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4552,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4557,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4565,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4568,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4574,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4582,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4591,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4619,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4631,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4634,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq4657,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
